h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
h;0.811845;3.94782;-3.135975;0;3;0.0789;l;01/03/2015;L;0;0;1;0;Sassuolo;Serie_A;2014
h;1.30307;3.32315;-2.02008;1;4;0.313;l;28/09/2014;L;0;0;1;0;Inter;Serie_A;2014
a;0.616984;3.00775;-2.390766;2;1;0.1221;w;14/09/2014;W;1;0;0;3;Atalanta;Serie_A;2014
a;0.223893;2.32549;-2.101597;0;3;0.1348;l;13/12/2014;L;0;0;1;0;Atalanta;Serie_A;2014
a;1.40147;4.53848;-3.13701;3;2;0.106;w;10/05/2015;W;1;0;0;3;Atalanta;Serie_A;2014
a;0.178332;2.88077;-2.702438;0;2;0.068;l;17/05/2015;L;0;0;1;0;Chievo;Serie_A;2014
a;0.200536;3.70253;-3.501994;0;4;0.0047;l;09/03/2015;L;0;0;1;0;Fiorentina;Serie_A;2014
a;0.104831;2.62355;-2.518719;1;3;0.0767;l;24/01/2015;L;0;0;1;0;AC Milan;Serie_A;2014
h;0.96641;3.01431;-2.0479;1;3;0.2218;l;29/04/2015;L;0;0;1;0;AC Milan;Serie_A;2014
a;0.112051;3.13346;-3.021409;0;3;0.0108;l;03/05/2015;L;0;0;1;0;AC Milan;Serie_A;2014
a;0.414036;3.28365;-2.869614;1;2;0.0638;l;05/10/2014;L;0;0;1;0;Torino;Serie_A;2014
a;0.984483;3.19476;-2.210277;0;5;0.2061;l;06/01/2015;L;0;0;1;0;Cagliari;Serie_A;2014
h;0.368621;4.45421;-4.085589;1;3;0.0092;l;04/04/2015;L;0;0;1;0;Cagliari;Serie_A;2014
a;0.0127481;2.23177;-2.2190219;0;3;0.0552;l;24/09/2014;L;0;0;1;0;Cesena;Serie_A;2014
a;0.167116;2.93622;-2.769104;0;2;0.0388;l;29/10/2014;L;0;0;1;0;Cesena;Serie_A;2014
a;0.43169;3.60693;-3.17524;2;3;0.0463;l;07/12/2014;L;0;0;1;0;Cesena;Serie_A;2014
a;1.24615;3.40707;-2.16092;1;3;0.2645;l;26/04/2015;L;0;0;1;0;Cesena;Serie_A;2014
a;0.90953;3.31326;-2.40373;1;3;0.1883;l;03/05/2015;L;0;0;1;0;Cesena;Serie_A;2014
a;0.244172;4.00732;-3.763148;0;5;0.007;l;31/05/2015;L;0;0;1;0;Cesena;Serie_A;2014
h;1.43019;3.77794;-2.34775;4;5;0.1683;l;14/09/2014;L;0;0;1;0;Parma;Serie_A;2014
a;0.103642;2.60803;-2.504388;0;2;0.0496;l;18/12/2014;L;0;0;1;0;Parma;Serie_A;2014
a;0.466083;2.47024;-2.004157;1;3;0.1446;l;11/01/2015;L;0;0;1;0;Parma;Serie_A;2014
a;0.335275;2.41615;-2.080875;1;4;0.0848;l;15/03/2015;L;0;0;1;0;Parma;Serie_A;2014
a;0.595376;2.78368;-2.188304;0;2;0.1935;l;15/04/2015;L;0;0;1;0;Parma;Serie_A;2014
a;0.30206;2.94967;-2.64761;1;6;0.0685;l;25/04/2015;L;0;0;1;0;Lille;Ligue_1;2014
h;1.08859;3.43302;-2.34443;0;4;0.1756;l;16/05/2015;L;0;0;1;0;Lille;Ligue_1;2014
a;0.127961;4.78539;-4.657429;0;3;0.0013;l;13/03/2015;L;0;0;1;0;SC Bastia;Ligue_1;2014
a;0.227001;2.6221;-2.395099;1;3;0.0525;l;04/04/2015;L;0;0;1;0;SC Bastia;Ligue_1;2014
a;0.265662;3.09687;-2.831208;1;0;0.0345;w;09/05/2015;W;1;0;0;3;SC Bastia;Ligue_1;2014
h;1.46084;4.23067;-2.76983;0;4;0.1361;l;06/12/2014;L;0;0;1;0;Rennes;Ligue_1;2014
a;0.757773;2.92373;-2.165957;0;2;0.2414;l;09/11/2014;L;0;0;1;0;Marseille;Ligue_1;2014
a;0.664786;3.64275;-2.977964;3;3;0.0796;d;20/09/2014;D;0;1;0;1;Caen;Ligue_1;2014
h;0.496129;2.73148;-2.235351;1;2;0.1815;l;04/10/2014;L;0;0;1;0;Caen;Ligue_1;2014
a;0.456666;3.04804;-2.591374;2;2;0.0978;d;22/11/2014;D;0;1;0;1;Caen;Ligue_1;2014
a;0.374308;4.08802;-3.713712;0;3;0.0168;l;12/12/2014;L;0;0;1;0;Caen;Ligue_1;2014
a;0.2487;2.35303;-2.10433;0;1;0.1157;l;22/02/2015;L;0;0;1;0;Nantes;Ligue_1;2014
a;0.23496;4.38112;-4.14616;0;6;0.0098;l;08/05/2015;L;0;0;1;0;Guingamp;Ligue_1;2014
a;0.699986;4.68663;-3.986644;0;4;0.0384;l;29/08/2014;L;0;0;1;0;Nice;Ligue_1;2014
a;0.575148;3.76512;-3.189972;1;4;0.0196;l;17/08/2014;L;0;0;1;0;Monaco;Ligue_1;2014
a;0.0757702;2.32341;-2.2476398;0;3;0.0637;l;14/12/2014;L;0;0;1;0;Toulouse;Ligue_1;2014
h;0.351107;2.36079;-2.009683;0;1;0.152;l;25/01/2015;L;0;0;1;0;Saint-Etienne;Ligue_1;2014
a;0.961541;3.01008;-2.048539;1;3;0.2921;l;23/11/2014;L;0;0;1;0;Bordeaux;Ligue_1;2014
a;0.285467;2.42892;-2.143453;1;3;0.1481;l;17/08/2014;L;0;0;1;0;Reims;Ligue_1;2014
